,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
71,Tasiilaq,GL,20,78,65.61,-37.64,263.15,1.0
72,Ribeira Grande,PT,20,82,38.52,-28.7,291.15,5.1
73,Kavieng,PG,100,75,-2.57,150.8,301.5,5.52
74,Nikolskoye,RU,75,74,59.7,30.79,276.15,4.0
75,Mossamedes,AO,100,80,-15.2,12.15,296.4,3.1
76,Huejuquilla el Alto,MX,0,17,22.6,-103.87,301.7,6.09
77,Porto-Novo,BJ,40,83,6.5,2.6,302.15,5.7
78,Itarema,BR,100,86,-2.92,-39.92,298.6,2.4
79,Kirakira,SB,85,82,-10.45,161.92,299.4,1.05
80,Bambous Virieux,MU,40,94,-20.34,57.76,297.15,1.0
81,Kaeo,NZ,0,80,-35.1,173.78,287.04,1.79
82,Yuanping,CN,0,21,38.72,112.76,281.4,4.02
83,Ko Samui,TH,100,67,9.54,99.94,301.2,4.48
84,Havre-St-Pierre,CA,90,79,50.23,-63.6,270.15,8.7
85,Palmer,US,75,81,42.16,-72.33,282.59,5.1
86,Hong Kong,HK,40,73,22.29,114.16,295.37,3.6
87,Xacmaz,AZ,86,63,41.46,48.81,278.0,2.89
88,Labuhan,ID,100,94,-6.88,112.21,297.0,1.0
89,Kalat,PK,0,48,29.02,66.59,282.4,1.13
90,Carnarvon,AU,100,78,-24.87,113.63,295.15,5.7
91,Seydi,TM,98,45,39.48,62.91,290.3,4.36
92,Guerrero Negro,MX,0,48,27.98,-114.06,292.5,4.83
93,Bhikangaon,IN,59,25,21.87,75.95,298.2,4.14
94,Cape Town,ZA,12,88,-33.93,18.42,293.15,6.2
95,Rincon,US,75,54,32.3,-81.24,301.15,2.6
96,Fairbanks,US,1,79,64.84,-147.72,272.59,3.6
97,Padang,ID,14,91,-0.95,100.35,293.4,2.29
98,Puerto Ayora,EC,20,66,-0.74,-90.35,302.15,5.1
99,Lompoc,US,90,57,34.64,-120.46,287.04,1.5
100,Vaini,TO,75,100,-21.2,-175.2,299.15,2.1
101,Russell,US,90,61,32.35,-85.2,298.71,1.5
102,Saint Paul Harbor,US,90,93,57.79,-152.41,276.15,2.1
103,Stornoway,GB,20,71,58.21,-6.39,276.15,3.6
104,Sambava,MG,68,95,-14.27,50.17,295.9,0.63
105,Kahului,US,1,69,20.89,-156.47,299.15,10.15
106,Changli,CN,0,34,39.7,119.15,280.93,0.45
107,Northam,GB,75,93,51.03,-4.22,285.37,4.6
108,Akom,CM,100,78,2.67,12.71,296.4,1.46
109,Umm Hajar,TD,86,11,13.3,19.7,299.7,5.16
110,Lidkoping,SE,48,93,58.51,13.16,280.37,8.7
111,Aykhal,RU,0,75,66.0,111.5,246.15,2.0
112,Port Blair,IN,100,74,11.67,92.75,301.1,4.72
113,Puerto del Rosario,ES,75,59,28.5,-13.86,291.15,9.3
114,San Patricio,MX,20,74,19.22,-104.7,302.15,6.2
115,Tecamachalco,MX,2,30,18.88,-97.73,299.82,0.89
116,Parangan,PH,88,80,5.08,119.94,299.2,2.93
117,Remontnoye,RU,100,63,46.56,43.65,273.15,3.0
118,Nishihara,JP,75,68,26.18,127.76,291.15,1.5
119,Cherskiy,RU,100,95,68.75,161.3,257.4,7.26
120,Port Shepstone,ZA,98,75,-30.74,30.45,291.2,6.73
121,Aloleng,PH,6,80,16.13,119.78,294.9,2.29
122,Haines Junction,CA,1,70,60.75,-137.51,268.5,0.42
123,Sirte,LY,100,74,31.21,16.59,287.2,6.33
124,Zyryanka,RU,0,100,65.75,150.85,246.1,0.33
125,Dikson,RU,100,100,73.51,80.55,253.6,2.97
126,Gribanovskiy,RU,60,58,51.46,41.98,273.71,3.08
127,Bredasdorp,ZA,33,72,-34.53,20.04,293.15,4.1
128,Mahebourg,MU,40,94,-20.41,57.7,297.15,1.0
129,Norman Wells,CA,90,85,65.28,-126.83,267.15,1.92
130,Salinopolis,BR,60,80,-0.61,-47.36,301.0,6.22
131,Walvis Bay,NA,0,94,-22.96,14.51,289.82,0.89
132,Bodden Town,KY,75,74,19.28,-81.25,301.15,6.7
133,Shimoda,JP,0,61,34.67,138.95,285.93,0.45
134,Zemio,CF,97,48,5.03,25.14,300.0,2.13
135,Isangel,VU,99,80,-19.55,169.27,299.2,7.37
136,Kiri Buru,IN,0,46,22.08,85.35,294.8,1.63
137,Guasdualito,VE,20,24,7.24,-70.73,311.15,4.6
138,Alice Springs,AU,0,56,-23.7,133.88,293.15,1.5
139,Port Lincoln,AU,100,40,-34.73,135.87,295.4,1.82
140,Virginia Beach,US,40,55,36.85,-75.98,294.15,3.1
141,Vanimo,PG,81,80,-2.67,141.3,300.8,4.6
142,Acarau,BR,100,86,-2.89,-40.12,298.6,2.4
143,Luanda,AO,40,78,-8.84,13.23,301.15,3.1
144,Van Buren,US,90,87,35.44,-94.35,288.71,2.1
145,Asau,RO,100,36,46.43,26.4,282.15,2.6
146,Monastyrshchina,RU,100,88,54.35,31.84,275.4,2.96
147,Umm Kaddadah,SD,9,15,13.6,26.69,296.7,6.03
148,Camacha,PT,40,58,33.08,-16.33,288.15,8.2
149,Copiapo,CL,20,64,-27.37,-70.33,294.15,5.1
150,Xinyu,CN,67,91,27.8,114.93,284.4,0.84
151,Tura,IN,0,43,25.52,90.22,292.2,0.88
152,Salalah,OM,75,69,17.02,54.09,299.15,2.6
153,Malabo,GQ,20,89,3.75,8.78,302.15,3.6
154,Adrar,MR,100,24,20.5,-10.07,295.6,4.64
155,Najran,SA,0,29,17.49,44.13,299.15,2.1
156,Yaan,NG,90,13,7.38,8.57,304.7,1.92
157,Caravelas,BR,0,79,-17.71,-39.25,300.5,5.43
158,Daru,PG,100,89,-9.08,143.21,297.8,1.35
159,Upernavik,GL,15,50,72.79,-56.15,248.7,2.77
160,Ouahigouya,BF,90,20,13.58,-2.42,306.1,1.83
161,Torbay,CA,20,63,47.67,-52.73,272.04,9.3
162,Mount Gambier,AU,100,33,-37.83,140.77,295.15,6.7
163,Clyde River,CA,75,75,70.47,-68.59,246.15,7.2
164,Ulladulla,AU,0,93,-35.35,150.47,287.15,3.6
165,Sao Miguel,BR,20,62,-5.47,-35.37,303.15,5.7
166,Flin Flon,CA,20,41,54.77,-101.86,257.15,4.6
167,Kismayo,SO,100,76,-0.36,42.55,302.0,7.42
168,Malindi,KE,20,79,-3.22,40.12,303.15,2.1
169,Lavrentiya,RU,100,96,65.58,-171.0,270.5,3.93
170,Bilma,NE,0,8,18.69,12.92,297.5,3.4
171,Zhuhai,CN,40,88,22.28,113.57,294.82,4.1
172,Henties Bay,NA,0,94,-22.12,14.28,289.82,0.89
173,Saint-Michel-des-Saints,CA,98,8,46.68,-73.92,277.04,0.45
174,Te Horo,NZ,8,54,-40.81,175.12,286.15,3.6
175,Kruisfontein,ZA,0,64,-34.0,24.73,292.2,2.75
176,Maningrida,AU,10,80,-12.07,134.27,299.3,4.78
177,Hambantota,LK,100,81,6.12,81.12,299.3,5.66
178,Cidreira,BR,93,79,-30.18,-50.21,296.3,8.57
179,Saldanha,ZA,0,82,-33.01,17.94,290.15,4.1
180,Kloulklubed,PW,75,83,7.04,134.26,297.15,1.5
181,Franklin Park,US,40,31,41.94,-87.87,282.59,2.6
182,Kasongo-Lunda,CD,100,95,-6.47,16.82,294.1,0.68
183,La Rioja,ES,40,93,42.25,-2.5,283.15,0.63
184,Kanigoro,ID,70,92,-8.13,112.22,296.3,0.46
185,Wawa,NG,100,25,9.9,4.42,304.4,0.62
186,Rundu,NA,100,69,-17.93,19.77,297.15,5.7
187,Arman,RU,100,94,59.7,150.17,261.5,4.18
188,Vyshneve,UA,5,74,50.39,30.37,277.04,2.0
189,Tikhvin,RU,100,81,59.65,33.53,274.2,4.73
190,Vila,PT,20,63,42.03,-8.16,290.15,2.6
191,Lincoln,US,75,58,40.8,-96.67,283.15,5.7
192,Kuchera,IN,0,32,26.98,73.97,293.8,3.25
193,Mount Isa,AU,0,56,-20.73,139.5,295.15,1.5
194,Necochea,AR,100,75,-38.55,-58.74,294.82,0.89
195,Chui,UY,100,70,-33.7,-53.46,295.3,5.96
196,Rodolfo Sanchez Taboada,MX,17,75,31.72,-116.57,289.82,1.34
197,Sur,OM,0,57,22.57,59.53,292.4,1.91
198,Buin,CL,0,29,-33.73,-70.75,300.15,3.1
199,Sawakin,SD,0,69,19.11,37.33,297.8,3.6
200,Castro,BR,0,80,-24.79,-50.01,295.4,2.41
201,Narsaq,GL,20,43,60.92,-46.05,264.15,1.5
202,Koygorodok,RU,73,95,60.45,51.0,266.8,1.55
203,Margate,GB,67,87,51.38,1.39,282.59,5.7
204,Saint-Philippe,RE,75,94,-21.36,55.77,297.15,3.6
205,Sioux Lookout,CA,75,41,50.1,-91.92,268.15,5.1
206,Kimbe,PG,96,94,-5.55,150.14,296.9,1.09
207,East London,ZA,100,82,-33.02,27.91,294.6,6.19
208,Smithers,CA,75,99,54.78,-127.17,273.15,1.5
209,Faanui,PF,100,73,-16.48,-151.75,301.3,3.62
210,Bathsheba,BB,20,58,13.22,-59.52,302.15,6.7
211,Aleksandrov Gay,RU,0,51,50.15,48.57,275.6,2.8
212,Keokuk,US,1,49,40.4,-91.38,283.15,4.1
213,Riverton,US,75,38,40.52,-111.94,289.26,7.7
214,Baykalsk,RU,99,90,51.51,104.15,264.0,1.24
215,Mar del Plata,AR,100,77,-38.0,-57.56,297.04,2.6
216,Flinders,AU,0,93,-34.58,150.86,287.15,3.6
217,Araouane,ML,79,9,18.9,-3.53,300.4,1.43
218,Biak,ID,10,74,-0.91,122.88,300.1,2.2
219,Pangnirtung,CA,90,65,66.15,-65.71,260.15,3.1
220,Alugan,PH,10,85,12.22,125.48,298.4,5.25
221,Eyl,SO,46,75,7.98,49.82,300.1,8.1
222,Matagami,CA,90,85,49.75,-77.63,269.15,9.8
223,Sepuka,TZ,100,93,-4.75,34.53,291.4,2.28
224,Luderitz,NA,0,82,-26.65,15.16,291.15,7.2
225,Kalmar,SE,75,75,56.66,16.36,281.15,4.1
226,Mungeli,IN,0,33,22.07,81.68,296.4,2.75
227,Talnakh,RU,40,84,69.49,88.4,260.15,12.0
228,Paamiut,GL,92,55,61.99,-49.67,262.2,4.19
229,Tiksi,RU,99,89,71.69,128.87,239.3,3.66
230,Honningsvag,NO,75,85,70.98,25.97,268.15,1.0
231,Altea,ES,75,82,38.6,-0.05,289.82,10.3
232,Sistranda,NO,20,83,63.73,8.83,277.15,12.9
233,Beira,MZ,40,78,-19.84,34.84,299.15,8.7
234,Nouadhibou,MR,88,64,20.93,-17.03,293.15,10.3
235,Barabinsk,RU,65,89,55.36,78.36,268.0,9.14
236,Noumea,NC,28,88,-22.28,166.46,294.15,1.0
237,Carlsbad,US,1,31,33.16,-117.35,290.37,3.1
238,Kutum,SD,0,15,14.2,24.67,294.2,5.41
239,Mayumba,GA,100,84,-3.43,10.66,300.0,4.22
240,Road Town,VG,40,69,18.42,-64.62,302.15,3.6
241,Ancud,CL,40,63,-41.87,-73.82,290.15,2.6
242,Fairlie,GB,75,93,55.76,-4.86,280.15,2.1
243,Gijang,KR,0,75,35.24,129.21,278.15,1.5
244,Tanout,NE,78,6,14.97,8.89,298.9,4.36
245,Kwang Binh,VN,81,97,17.48,106.6,295.1,1.65
246,Chegdomyn,RU,98,97,51.12,133.02,265.1,0.41
247,Yabassi,CM,40,84,4.46,9.97,303.15,1.0
248,Bandarbeyla,SO,47,72,9.49,50.81,299.6,5.79
249,Robstown,US,75,58,27.79,-97.67,304.15,7.2
250,Saint Anthony,US,20,36,45.02,-93.22,280.37,4.6
251,Marawi,PH,95,89,8.0,124.29,296.48,2.24
252,Arlit,NE,15,7,18.74,7.39,301.1,5.44
253,Kununurra,AU,40,83,-15.77,128.73,298.15,0.5
254,Sola,VU,100,74,-13.88,167.55,301.9,3.63
255,Marsh Harbour,BS,0,67,26.54,-77.06,295.8,4.03
256,Abalak,RU,100,89,58.13,68.59,271.4,5.82
257,Taoudenni,ML,84,10,22.68,-3.98,298.4,2.46
258,Brae,GB,12,61,60.4,-1.35,278.15,12.3
259,College,US,1,79,64.86,-147.8,272.59,3.6
260,Verkhnevilyuysk,RU,100,93,63.45,120.32,251.0,2.39
261,Haridwar,IN,0,80,29.97,78.17,288.7,0.8
262,Sitka,US,1,69,57.05,-135.33,277.15,4.2
263,Leningradskiy,RU,100,77,69.38,178.42,269.7,3.5
264,Arica,CL,37,65,-18.48,-70.3,300.15,7.2
265,Porto San Giorgio,IT,80,87,43.18,13.79,283.71,0.5
266,Progreso,MX,75,32,21.28,-89.67,307.15,4.1
267,Metro,ID,86,94,-5.11,105.31,296.7,2.15
268,Coyhaique,CL,0,42,-45.58,-72.07,292.15,1.5
269,Alyangula,AU,11,100,-13.85,136.42,296.15,1.73
270,Boardman,US,90,70,41.02,-80.66,280.37,3.6
271,Qaqortoq,GL,20,43,60.72,-46.03,264.15,1.5
272,Abrau-Dyurso,RU,40,64,44.69,37.59,274.15,3.0
273,Omboue,GA,95,97,-1.57,9.26,297.5,1.22
274,Maceio,BR,75,74,-9.67,-35.74,301.15,4.1
275,Tayu,ID,73,86,-6.54,111.05,298.1,1.73
276,Geraldton,AU,90,60,-28.77,114.6,294.15,4.6
277,Tilbury,GB,64,76,51.46,0.36,284.26,3.6
278,Tiznit Province,MA,100,83,29.58,-9.5,281.9,5.77
279,Conde,BR,40,70,-7.26,-34.91,303.15,5.7
280,Dzhida,RU,56,57,50.68,106.18,267.6,3.39
281,Kulynychi,UA,100,55,49.98,36.38,274.15,1.0
282,Belomorsk,RU,100,93,64.52,34.77,271.6,6.73
283,Corner Brook,CA,90,63,48.97,-57.95,272.15,8.7
284,Kariba,ZW,100,94,-16.52,28.8,294.3,0.73
285,Mogadishu,SO,8,80,2.04,45.34,301.6,10.46
286,Viedma,AR,1,73,-40.81,-63.0,292.8,8.7
287,Katobu,ID,100,94,-4.94,122.53,296.1,0.98
288,Llano de Piedra,PA,36,40,7.67,-80.57,305.2,9.65
289,Kachug,RU,47,92,53.96,105.88,260.5,1.83
290,Shingu,JP,0,64,33.73,135.98,286.1,5.29
291,Santa Vitória do Palmar,BR,100,70,-33.52,-53.37,295.3,5.96
292,Richards Bay,ZA,100,69,-28.78,32.04,295.8,8.55
293,Taungdwingyi,MM,0,45,20.02,95.55,293.3,3.25
294,Santa Ana,US,75,44,33.75,-117.87,289.82,3.45
295,Esperance,AU,90,93,-33.87,121.9,289.15,4.1
296,Marquette,US,40,73,46.53,-87.63,274.82,7.2
297,Baft,IR,0,50,29.23,56.61,282.8,0.62
298,Storm Lake,US,40,65,42.64,-95.21,279.82,4.6
299,Wallacetown,NZ,6,96,-46.33,168.27,277.59,0.45
300,Ginir,ET,5,66,7.13,40.7,290.5,1.22
301,Arrifes,PT,20,72,37.77,-25.7,289.15,3.1
302,Vysha,RU,0,75,53.85,42.38,272.9,3.41
303,Bayan,CN,70,86,46.08,127.4,268.9,2.17
304,Pemangkat,ID,11,91,1.17,108.97,298.0,3.23
305,Beloha,MG,35,84,-25.17,45.05,294.6,3.07
306,Qandala,SO,100,73,11.47,49.87,298.3,5.59
307,Bambanglipuro,ID,86,92,-7.95,110.28,296.7,2.03
308,Arona,ES,20,67,28.1,-16.68,291.48,9.8
309,Pativilca,PE,35,87,-10.7,-77.78,295.5,5.65
310,Karratha,AU,14,60,-20.74,116.85,304.0,3.91
311,Aklavik,CA,75,72,68.22,-135.01,265.15,1.5
312,Troitsk,RU,0,83,54.1,61.58,269.2,5.82
313,Tibiri,NE,41,7,13.56,7.05,300.7,4.36
314,Kapit,MY,83,99,2.02,112.93,295.0,0.22
315,Hobyo,SO,30,76,5.35,48.53,299.3,6.42
316,Tabou,CI,90,93,4.42,-7.35,298.8,1.89
317,Taltal,CL,0,72,-25.4,-70.48,291.9,3.23
318,Khovd,MN,0,55,48.01,91.64,270.0,0.43
319,Conway,US,90,76,35.09,-92.44,287.04,4.6
320,Anadyr,RU,20,79,64.75,177.48,267.15,4.0
321,Nome,US,90,92,64.5,-165.41,270.37,7.2
322,Nantucket,US,90,93,41.28,-70.1,281.15,3.6
323,Tual,ID,48,70,-5.67,132.75,300.9,1.12
324,San Rafael del Sur,NI,20,32,11.85,-86.44,308.15,9.3
325,North Bend,US,75,71,43.41,-124.22,284.26,2.6
326,Berlevag,NO,75,85,70.86,29.09,268.15,2.1
327,Quelimane,MZ,38,79,-17.88,36.89,298.7,3.78
328,General Roca,AR,65,23,-39.03,-67.58,298.6,4.37
329,Saint-Joseph,RE,75,94,-21.37,55.62,297.15,3.6
330,Le Port,RE,40,88,-20.94,55.29,297.15,1.5
331,Durazno,UY,90,57,-33.41,-56.5,299.15,4.6
332,Esmeraldas,BR,75,54,-19.76,-44.31,305.15,1.5
333,Safi,MA,30,92,32.3,-9.24,283.3,5.23
334,Klaksvik,FO,0,74,62.23,-6.59,276.15,9.3
335,Gubbio,IT,71,71,43.35,12.57,285.37,3.6
336,Marang,MY,40,83,5.21,103.21,300.15,0.5
337,Madang,PG,100,77,-5.22,145.8,300.4,2.34
338,Vao,NC,26,76,-22.67,167.48,297.9,8.41
339,Estelle,US,75,69,29.85,-90.11,300.93,4.1
340,Baie-Comeau,CA,90,92,49.22,-68.15,273.15,4.6
341,Akcakoca,TR,0,76,41.09,31.12,273.2,0.34
342,Hualmay,PE,99,60,-11.1,-77.61,298.2,3.37
343,Oktyabrskiy,RU,75,93,54.48,53.47,270.0,3.05
344,Fortuna,US,90,87,40.6,-124.16,281.48,5.7
345,Pokhara,NP,0,63,28.23,83.98,287.9,1.4
346,Adjumani,UG,97,77,3.38,31.79,296.3,1.19
347,Plettenberg Bay,ZA,0,70,-34.05,23.37,292.5,3.83
348,Ganzhou,CN,25,87,28.82,115.43,283.6,0.4
349,Nadapuram,IN,20,94,11.7,75.67,301.15,1.0
350,Gberia Fotombu,SL,57,37,9.88,-11.17,301.9,1.95
351,Atasu,KZ,8,88,48.68,71.64,268.1,2.35
352,Ust-Kuyga,RU,100,97,70.02,135.6,242.5,1.33
353,Batagay,RU,100,99,67.63,134.63,252.0,1.08
354,South Venice,US,1,65,27.05,-82.42,303.71,4.6
355,Kinkala,CG,20,78,-4.36,14.76,301.15,1.5
356,Orlik,RU,0,94,52.52,99.83,253.1,1.5
357,Cockburn Town,TC,1,73,21.46,-71.14,297.5,7.1
358,Cedar City,US,40,34,37.68,-113.06,285.15,11.8
359,Belyy Yar,RU,100,85,53.6,91.39,269.15,1.0
360,Zaruma,EC,75,61,-3.68,-79.62,303.15,1.0
361,Kabinda,CD,100,96,-6.13,24.48,293.3,2.22
362,Ekhabi,RU,69,96,53.51,142.97,261.6,2.84
363,Yumen,CN,66,26,40.28,97.2,275.4,5.29
364,Almaty,KZ,90,38,43.25,76.95,288.15,3.0
365,Puerto Colombia,CO,11,62,10.99,-74.95,303.15,9.8
366,Bataipora,BR,23,65,-22.3,-53.27,303.2,1.19
367,Kuusamo,FI,90,86,65.97,29.18,271.15,4.1
368,Imbituba,BR,75,69,-28.24,-48.67,297.15,4.6
369,Baykit,RU,100,91,61.67,96.37,255.0,1.03
370,Turukhansk,RU,100,92,65.82,87.98,262.8,6.43
371,Kadyy,RU,71,93,57.79,43.19,271.3,2.74
372,Inuvik,CA,75,92,68.35,-133.72,265.15,1.0
373,Penzance,GB,90,93,50.12,-5.54,284.82,9.3
374,Ulaangom,MN,100,95,49.98,92.07,261.4,1.41
375,Scottsbluff,US,40,66,41.87,-103.67,282.59,8.7
376,Terney,RU,0,74,45.05,136.61,267.0,3.57
377,Kukes,AL,1,48,42.08,20.42,277.1,1.61
378,Okha,RU,69,96,53.57,142.95,261.6,2.84
379,Chu,KZ,0,92,43.6,73.76,284.3,3.45
380,Edd,ER,73,73,13.93,41.69,299.8,3.36
381,Vestmanna,FO,11,74,62.16,-7.17,276.15,9.3
382,Souillac,MU,40,94,-20.52,57.52,297.15,1.0
383,Cabo San Lucas,MX,75,53,22.89,-109.91,301.15,1.5
384,Shieli,KZ,30,64,44.17,66.75,283.0,6.36
385,Boyolangu,ID,70,92,-8.12,111.89,296.3,0.46
386,Arrecife,ES,75,52,28.96,-13.55,291.15,8.2
387,Waldoboro,US,90,93,44.1,-69.38,277.59,3.1
388,Altay,CN,0,36,47.87,88.12,271.3,2.73
389,Bartica,GY,75,79,6.4,-58.62,302.15,4.1
390,Vestmannaeyjar,IS,77,70,63.44,-20.27,274.8,1.13
391,Puerto Carreno,CO,40,30,6.19,-67.49,310.15,5.1
392,San Lazaro,BZ,75,74,18.04,-88.66,303.15,4.1
393,Nuevo Progreso,MX,43,68,23.17,-97.95,302.59,2.24
394,Kasempa,ZM,100,98,-13.46,25.83,290.8,2.36
395,Aliwal North,ZA,68,79,-30.69,26.71,289.4,6.04
396,Lachi,PK,94,72,33.38,71.34,289.0,1.63
397,Stykkisholmur,IS,100,83,65.08,-22.73,270.1,15.27
398,Gushikawa,JP,75,68,26.35,127.87,291.15,1.5
399,Waslala,NI,40,53,13.23,-85.38,298.15,5.1
400,Moerai,PF,100,82,-22.43,-151.33,299.2,11.24
401,Ust-Karsk,RU,73,90,52.7,118.81,264.1,1.8
402,Ilebo,CD,100,95,-4.32,20.58,294.6,0.29
403,Harper,LR,90,93,4.38,-7.72,298.8,1.89
404,Damghan,IR,100,70,36.17,54.35,285.1,2.28
405,Donskoy,RU,0,73,53.97,38.34,274.3,4.39
406,Guhagar,IN,20,60,17.48,73.19,300.9,4.21
407,Dunedin,NZ,0,75,-45.87,170.5,281.4,1.84
408,Argentan,FR,93,66,48.75,-0.02,282.15,0.5
409,Loukhi,RU,100,94,66.08,33.04,271.6,4.07
410,Severo-Kurilsk,RU,100,91,50.68,156.12,264.9,5.02
411,Lata,PT,20,82,40.16,-8.33,288.71,2.6
412,Bembereke,BJ,51,30,10.23,2.66,303.0,1.18
413,Sulangan,PH,55,78,11.14,123.72,299.6,5.08
414,Dakar,SN,0,73,14.69,-17.44,296.15,7.2
415,Lagoa,PT,0,79,39.05,-27.98,290.2,7.14
416,Half Moon Bay,US,75,50,37.46,-122.43,287.04,2.1
417,Dobric,RS,37,56,44.7,19.58,284.82,2.1
418,Yulara,AU,0,28,-25.24,130.99,300.15,3.1
419,Port Macquarie,AU,91,100,-31.43,152.92,288.71,2.6
420,Vardo,NO,75,79,70.37,31.11,268.15,1.0
421,Hukuntsi,BW,32,47,-24.0,21.75,295.8,4.38
422,Petawawa,CA,75,69,45.9,-77.33,279.26,9.3
423,Sydney,AU,90,100,-33.87,151.21,288.71,1.77
424,Tuatapere,NZ,34,96,-46.13,167.68,277.59,0.45
425,Faranah,GN,54,37,10.04,-10.74,302.5,2.33
426,Olafsvik,IS,100,75,64.89,-23.71,271.4,18.6
427,Dutlwe,BW,1,54,-23.98,23.9,294.0,6.58
428,Iqaluit,CA,90,78,63.75,-68.51,264.15,7.2
429,Francistown,BW,40,93,-21.17,27.51,291.15,4.1
430,Corrente,BR,84,93,-3.74,-43.34,298.6,0.75
431,Deputatsky,RU,62,88,69.3,139.9,244.9,3.25
432,Chara,RU,100,76,56.91,118.26,264.6,1.35
433,Methven,NZ,0,89,-43.63,171.65,278.71,1.5
